Date,OrderTotal,OrderStatusName,ShippingStatusName,PaymentStatusName
2017-07-01,268,Complete,Shipping not required,Paid
2017-06-30,2331.76,Complete,Shipping not required,Paid
2017-06-29,862.19,Complete,Shipping not required,Paid
2017-06-28,389.82,Complete,Shipping not required,Paid
2017-06-27,2995.07,Complete,Shipping not required,Paid
2017-06-26,274,Complete,Shipping not required,Paid
2017-06-25,897.69,Complete,Shipping not required,Paid
2017-06-24,828,Complete,Shipping not required,Paid
2017-06-23,0,Complete,Shipping not required,Paid
2017-06-22,1630.5,Complete,Shipping not required,Paid
2017-06-21,1344.50,Complete,Shipping not required,Paid
2017-06-20,368.29,Complete,Shipping not required,Paid
2017-06-19,767.37,Complete,Shipping not required,Paid
2017-06-18,59,Complete,Shipping not required,Paid
2017-06-17,225.69,Complete,Shipping not required,Paid
2017-06-16,5893.72,Complete,Shipping not required,Paid
2017-06-15,3987.84,Complete,Shipping not required,Paid
2017-06-14,88,Complete,Shipping not required,Paid
2017-06-13,3460.22,Complete,Shipping not required,Paid
2017-06-12,138.85,Complete,Shipping not required,Paid
2017-06-11,87.83,Complete,Shipping not required,Paid
2017-06-10,211,Complete,Shipping not required,Paid
2017-06-09,152.76,Complete,Shipping not required,Paid
2017-06-08,2010.31,Complete,Shipping not required,Paid
2017-06-07,995,Complete,Shipping not required,Paid
2017-06-06,2802.30,Complete,Shipping not required,Paid
2017-06-05,2571.45,Complete,Shipping not required,Paid
2017-06-04,768.6,Complete,Shipping not required,Paid
2017-06-03,531.77,Complete,Shipping not required,Paid
2017-06-02,3499.09,Complete,Shipping not required,Paid
2017-06-01,2082.5,Complete,Shipping not required,Paid
