aaa,9953117,8734,113,281
aab,9754801,8432,110,173
aac,9771234,9612,132,327
aad,9983092,9163,33,80
aae,9616786,8612,30,101
aaf,9844952,9227,51,92
aag,9533193,9743,158,304
aba,9930061,8505,85,131
abb,9455342,8675,178,285
abc,9944287,9376,58,134
abd,9924993,9296,10,41
abe,9531113,9496,148,290
abf,9729146,8041,106,214
abg,9836143,9053,44,126
aca,9590199,7814,108,184
acb,9952730,9136,10,40
acc,9955613,8637,104,196
acd,9941408,8677,131,229
ace,9899154,11599,43,129
acf,9755280,9305,46,96
acg,9990624,8116,252,409
ada,9910111,8355,197,291
adb,9997587,8754,103,261
adc,9811477,9507,26,95
add,9817618,7510,76,163
ade,9813818,9280,14,67
adf,9789260,9602,40,68
adg,9577039,9014,25,53
aea,9814234,9302,54,101
aeb,9436661,8461,59,172
aec,9739380,9385,5,12
aed,9658822,9103,71,121
aee,9789240,8406,5,10
aef,9685493,7446,214,332
aeg,9636828,9306,111,231
afa,9617913,9086,5,13
afb,9545125,8424,64,144
afc,9780145,9373,5,14
afd,9939426,9445,114,337
afe,9938022,8068,5,5
aff,9987647,8781,172,324
afg,9851367,8316,222,462
aga,9912333,7187,135,245
agb,9944713,9387,107,251
agc,9758404,10271,10,35
agd,9720713,8175,121,207
age,9809186,7879,8,33
agf,9799922,7634,151,293
agg,9896264,8428,21,60
baa,9623347,8869,27,86
bab,9942588,8662,75,248
bac,9855063,10313,85,212
bad,9871103,8010,217,357
bae,9791824,8142,307,485
baf,9907383,8888,9,15
bag,9934546,6726,175,324
bba,9756753,9015,16,29
bbb,9838242,8462,45,98
bbc,9684944,8410,126,252
bbd,9943215,9091,149,381
bbe,9778819,9008,17,36
bbf,9527982,9873,35,85
bbg,9822568,8486,63,80
bca,9930830,7287,78,248
bcb,9773326,8405,40,79
bcc,9971692,8734,206,341
bcd,9956382,9127,87,141
bce,9652813,9995,212,388
bcf,9750615,11872,104,201
bcg,9881851,9780,68,167
bda,9971456,8039,155,282
bdb,9816190,10058,134,299
bdc,9855163,9384,36,132
bdd,9761273,7965,231,329
bde,9696696,8364,13,42
bdf,9909853,8403,151,245
bdg,9756902,8147,242,461
bea,9964925,8665,438,1065
beb,9543741,10249,34,51
bec,9714268,8614,132,233
bed,9768434,6800,11,31
bee,9969390,9817,291,472
bef,9964808,8013,255,463
beg,9798079,8288,58,86
bfa,9983941,8793,135,251
bfb,9693020,8526,50,144
bfc,9628614,8753,204,361
bfd,9825461,8535,116,205
bfe,9973468,8086,15,41
bff,9972628,11808,22,66
bfg,9472362,8770,147,212
bga,9937811,7261,18,43
bgb,9988650,8432,56,101
bgc,9561517,9491,207,340
bgd,9873162,9779,5,15
bge,9968918,8666,144,324
bgf,9983995,8434,139,244
bgg,9586842,8003,204,364
caa,9817954,10199,45,104
cab,9966719,8273,22,41
cac,9854234,9542,68,169
cad,9915138,8797,23,60
cae,9989716,7419,96,184
caf,9788850,8319,85,214
cag,9984285,8526,71,124
cba,9746995,8016,21,37
cbb,9906581,7346,23,47
cbc,9860717,8571,11,41
cbd,9904629,7797,118,208
cbe,9750605,8777,73,183
cbf,9929943,10064,6,18
cbg,9970381,8956,62,118
cca,9963725,9469,322,623
ccb,9653135,9418,81,132
ccc,9957260,9405,91,149
ccd,9956573,8026,250,375
cce,9828342,8419,73,207
ccf,9944132,8038,218,349
ccg,9965346,8976,37,80
cda,9867584,8049,11,33
cdb,9758143,8599,40,105
cdc,9639477,8684,169,262
cdd,9833438,8698,50,88
cde,9997444,7928,126,224
cdf,9910565,8932,30,105
cdg,9984328,7994,70,175
cea,9472547,8069,447,809
ceb,9934739,9772,318,533
cec,9975285,9755,183,297
ced,9993432,9975,137,197
cee,9727995,9217,217,424
cef,9918758,8658,129,223
ceg,9773793,10610,54,179
cfa,9700562,8643,69,185
cfb,9854990,10917,117,239
cfc,9996757,8436,87,155
cfd,9960573,8327,91,205
cfe,9708405,8843,126,263
cff,9943133,7542,24,57
cfg,9885577,8633,37,71
cga,9756434,9065,202,371
cgb,9879861,11686,8,32
cgc,9377626,9306,59,91
cgd,9775777,7890,120,218
cge,9990604,9310,286,425
cgf,9842282,10737,285,488
cgg,9928477,8977,273,405
daa,9547028,9991,11,30
dab,9743264,7789,92,176
dac,9866125,8652,135,299
dad,9678607,9465,97,251
dae,9905234,8274,58,109
daf,9863945,9519,14,26
dag,9501994,8046,255,384
dba,9976906,10078,62,135
dbb,9770985,10002,35,68
dbc,9942727,9722,34,169
dbd,9639157,7396,171,302
dbe,9921453,9886,75,154
dbf,9813071,8418,518,809
dbg,9940927,10986,248,407
dca,9866752,9324,39,94
dcb,9945557,9695,116,224
dcc,9633137,8349,11,32
dcd,9983213,9551,112,185
dce,9805075,9137,41,83
dcf,9811279,9441,180,251
dcg,9903269,8924,37,83
dda,9815355,8626,194,331
ddb,9875629,10047,122,206
ddc,9914246,8461,41,103
ddd,9959216,8071,277,478
dde,9590635,8528,53,127
ddf,9825814,8438,77,116
ddg,9974740,8093,114,163
dea,9813722,8386,348,460
